name,description,dtype
PID,The project identification number,int64
Project_Name,The name of the project,object
Description,A brief written description of the project,object
Category,"The type of project (i.e. bridges, roadways, schools, etc.)",object
Borough,The primary borough location for the project,object
Managing_Agency,The primary managing agency for the project,object
Client_Agency,The primary client agency for the project,object
Phase_Start,The project phase at the time of the first change record recorded,object
Current_Project_Years,The number of years since (in decimal form) the Design_Start date (i.e. the age of the project when the dataset was compiled),float64
Current_Project_Year,The number of years since (in integer form) the Design_Start date,int64
Design_Start,The date at which the design phase of the project began,datetime64
Budget_Start,The original forecasted budget (in USD) for the project,float64
Schedule_Start,The original forecasted end date for the project,datetime64
Final_Change_Date,The date of the project’s final change record within the time interval being investigated,datetime64
Final_Change_Years,The number of years since (in decimal form) the Design_Start date when the Final_Change_Date was recorded,float64
Phase_End,The project phase at the time of the last change record recorded within the interval period,object
Budget_End,The final forecasted budget (in USD) for the project at the time of the last change record within the interval period,float64
Schedule_End,The final forecasted end date for the project at the time of the last change record within the interval period,datetime64
Number_Changes,The total number of change records for the project observed during the interval period,int64
Duration_Start,The original forecasted duration (in days) of the project at the time of the earliest available observation,int64
Duration_End,The final forecasted duration (in days) of the project at the time of the last change record within the interval period,int64
Schedule_Change,The total forecasted duration change (in days) observed during the interval period: Duration_End -Duration_Start,int64
Budget_Change,The total forecasted budget change (in USD) observed during the interval period: Budget_End - Budget_Start,float64
Schedule_Change_Ratio,Change metric: Schedule Change / Duration_Start,float64
Budget_Change_Ratio,Change metric: Budget_Change / Budget_Start,float64
Budget_Abs_Per_Error,Change metric: (Budget_Start – Budget_End) / Budget_End,float64
Budget_Rel_Per_Error,Change metric: (Budget_Start – Budget_End) / Budget_Start,float64
Duration_End_Ratio,Change metric: Duration_End / Duration_Start,float64
Budget_End_Ratio,Change metric: Budget_End / Budget_Start,float64
Duration_Ratio_Inv,Change metric: (Duration_Start / Duration_End) - 1 ,float64
Budget_Ratio_Inv,Change metric: (Budget_Start / Budget_End) - 1 ,float64
